epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,7330.02,0.81296,1.37691,1.3828,0.44274,0.40033,0.39592,0.29081,1.09395,1.94091,1.68712,0.00802208,0.00802208,0.00802208
120,7390.8,0.80764,1.2851,1.37043,0.49557,0.36635,0.40123,0.29587,1.09051,1.96268,1.70017,0.0079909,0.0079909,0.0079909
121,7449.56,0.81244,1.3305,1.36636,0.44581,0.41401,0.40999,0.30298,1.09229,1.93709,1.69189,0.00795954,0.00795954,0.00795954
122,7508.1,0.81081,1.32964,1.37221,0.45971,0.40398,0.4034,0.29495,1.10887,1.95613,1.70171,0.007928,0.007928,0.007928
123,7565.39,0.80913,1.31033,1.37121,0.47422,0.42886,0.42285,0.31073,1.08789,1.94639,1.68308,0.00789628,0.00789628,0.00789628
124,7621.46,0.79246,1.31319,1.36122,0.43987,0.39377,0.3911,0.28784,1.09498,1.97189,1.69375,0.00786438,0.00786438,0.00786438
125,7678.71,0.79413,1.28502,1.35678,0.37643,0.40746,0.38309,0.28117,1.09424,2.00058,1.69505,0.00783231,0.00783231,0.00783231
126,7736.3,0.79641,1.237,1.36561,0.42606,0.41739,0.39743,0.29118,1.08294,1.97993,1.68613,0.00780007,0.00780007,0.00780007
127,7795.75,0.79586,1.24439,1.35475,0.40453,0.41338,0.39052,0.28733,1.0844,2.00023,1.6893,0.00776766,0.00776766,0.00776766
128,7854.31,0.79797,1.21381,1.35597,0.40702,0.4156,0.38645,0.28895,1.0788,2.00485,1.69241,0.00773509,0.00773509,0.00773509
129,7910.55,0.78465,1.18438,1.35324,0.36321,0.42671,0.39157,0.2909,1.08791,1.99225,1.69909,0.00770234,0.00770234,0.00770234
130,7972.21,0.78238,1.17963,1.34915,0.42987,0.41462,0.40022,0.29737,1.08064,1.93504,1.69063,0.00766944,0.00766944,0.00766944
131,8030.65,0.78542,1.18443,1.35149,0.41125,0.42405,0.39339,0.28695,1.09194,1.99701,1.67874,0.00763637,0.00763637,0.00763637
132,8091,0.78603,1.19787,1.34242,0.41318,0.42142,0.39286,0.28934,1.10664,1.98398,1.72252,0.00760314,0.00760314,0.00760314
133,8148.67,0.77938,1.22124,1.33843,0.42561,0.42193,0.40694,0.30478,1.07728,1.97815,1.689,0.00756976,0.00756976,0.00756976
134,8205.8,0.76453,1.15857,1.32703,0.47075,0.3694,0.41308,0.30908,1.08491,1.96887,1.70223,0.00753621,0.00753621,0.00753621
